pdate,实验组菜谱曝光,对照组菜谱曝光,实验组专题曝光,对照组专题曝光,菜谱曝光汇总,专题曝光汇总
2022-10-20,5100,17480,1700,1748,22580,3448
2022-10-21,3936,14600,1312,1460,18536,2772
2022-10-22,5532,16800,1844,1680,22332,3524
2022-10-23,4836,17300,1612,1730,22136,3342
2022-10-24,4494,16920,1498,1692,21414,3190
2022-10-25,4884,16620,1628,1662,21504,3290
2022-10-26,4674,16740,1558,1674,21414,3232
2022-10-27,7380,7440,1476,1488,14820,2964
2022-10-28,6470,7090,1294,1418,13560,2712
2022-10-29,7840,8080,1568,1616,15920,3184
2022-10-30,7320,8040,1464,1608,15360,3072
2022-10-31,7230,6240,1446,1248,13470,2694
2022-11-01,7560,7020,1512,1404,14580,2916
2022-11-02,8700,8150,1740,1630,16850,3370
2022-11-03,10700,9270,2140,1854,19970,3994
2022-11-04,10300,9860,2060,1972,20160,4032
2022-11-05,11470,11370,2294,2274,22840,4568
2022-11-06,11950,12170,2390,2434,24120,4824
2022-11-07,10780,10110,2156,2022,20890,4178
